,changed,Unique.ID,Continent,Species.Distribution,Status,cal.last.occurrence,X14C.last.occurrence,X14C.error,Order,FAMILY,Genus,Species,X,binomial.x,LogMass,Combined.Mass..g.,Comments,Reference,IUCN.status,comment,comment.1,Home.Range.Size,units.for.home.range.sizse,reference.for.home.range,binomial.y,trophic,ref.for.trophic,habitat.mode
655,Unchanged taxonomy.,AF_extant_Mops condylurus,AF,Senegal to somalia_ south to Angola_ botswana and natal (South Africa)_ Madagascar,extant,,NA,NA,Chiroptera,Molossidae,Mops,condylurus,,Mops condylurus,1.453,28.373,,153,,,,,NA,NA,Mops condylurus,ainsect,t1,volant
656,Unchanged taxonomy.,AF_extant_Mops congicus,AF,Ghana_ Nigeria_ Cameroon_ Zaire_ Uganda_ perhaps Gambia,extant,,NA,NA,Chiroptera,Molossidae,Mops,congicus,,Mops congicus,1.633,42.95,,153,,,,,NA,NA,Mops congicus,ainsect,t1,volant
657,Unchanged taxonomy.,AF_extant_Mops demonstrator,AF,Sudan_ Zaire_ Uganda_ Burkina Faso,extant,,NA,NA,Chiroptera,Molossidae,Mops,demonstrator,,Mops demonstrator,-999,-999,,-999,,,,,NA,NA,Mops demonstrator,ainsect,t1,
658,Unchanged taxonomy.,AF_extant_Mops midas,AF,Senegal to saudi arabia_ south to Botswana and Tansvall (South africa)_ Madagascar,extant,,NA,NA,Chiroptera,Molossidae,Mops,midas,,Mops midas,1.655,45.22,,153,,,,,NA,NA,Mops midas,ainsect,t1,volant
659,Unchanged taxonomy.,AF_extant_Mops nanulus,AF,Sierra leone to Ethiopia and Kenya,extant,,NA,NA,Chiroptera,Molossidae,Mops,nanulus,,Mops nanulus,-999,-999,,-999,,,,,NA,NA,Mops nanulus,ainsect,t1,
660,Unchanged taxonomy.,AF_extant_Mops niangarae,AF,Zaire,extant,,NA,NA,Chiroptera,Molossidae,Mops,niangarae,,Mops niangarae,-999,-999,,-999,,,,,NA,NA,Mops niangarae,ainsect,t1,
661,Unchanged taxonomy.,AF_extant_Mops niveiventer,AF,Zaire_ Rwanda_ Burundi_ Tanzania_ Angola_ Zambia_ Mozambique,extant,,NA,NA,Chiroptera,Molossidae,Mops,niveiventer,,Mops niveiventer,1.336,21.7,,153,,,,,NA,NA,Mops niveiventer,ainsect,t1,volant
662,Unchanged taxonomy.,AF_extant_Mops petersoni,AF,Cameroon and Ghana_ perhaps Sierra Leone,extant,,NA,NA,Chiroptera,Molossidae,Mops,petersoni,,Mops petersoni,-999,-999,,-999,,,,,NA,NA,Mops petersoni,ainsect,t1,
663,Unchanged taxonomy.,AF_extant_Mops spurrelli,AF,Liberia_ Ivory Coast_ Ghana_ Togo_ Benin_ Rio Muni and Bioko (Equatorial Guinea) Zaire,extant,,NA,NA,Chiroptera,Molossidae,Mops,spurrelli,,Mops spurrelli,-999,-999,,-999,,,,,NA,NA,Mops spurrelli,ainsect,t1,
664,Unchanged taxonomy.,AF_extant_Mops thersites,AF,Sierra Leone to Rwanda_ Bioko_ perhaps Mozambique and Zanzibar,extant,,NA,NA,Chiroptera,Molossidae,Mops,thersites,,Mops thersites,1.342,22,,153,,,,,NA,NA,Mops thersites,ainsect,t1,volant
665,Unchanged taxonomy.,AF_extant_Mops trevori,AF,NW Zaire_ Uganda,extant,,NA,NA,Chiroptera,Molossidae,Mops,trevori,,Mops trevori,-999,-999,,-999,,,,,NA,NA,Mops trevori,ainsect,t1,
666,Unchanged taxonomy.,AF_extant_Mormopterus acetabulosus,AF,Reunion and Mauritius (Mascarene Isls)_ Madagascar_ south Africa_ Ethiopia,extant,,NA,NA,Chiroptera,Molossidae,Mormopterus,acetabulosus,,Mormopterus acetabulosus,-999,-999,,-999,,,,,NA,NA,Mormopterus acetabulosus,ainsect,t1,
667,Genus level change. Taxonomy possibilities are: CHIROPTERA Molossidae Sauromys petrophilus,AF_extant_Mormopterus petrophilus,AF,south africa_ Namibia_ botswana_ zimbabwe_ mozambique_ perhaps Ghana,extant,,NA,NA,Chiroptera,Molossidae,Mormopterus,petrophilus,,Mormopterus petrophilus,1.143,13.9,,153,,,,,NA,NA,Mormopterus petrophilus,ainsect,t1,volant
668,Genus level change. Taxonomy possibilities are: CHIROPTERA Molossidae Platymops setiger,AF_extant_Mormopterus setiger,AF,S Sudan_ Ethiopia_ Kenya,extant,,NA,NA,Chiroptera,Molossidae,Mormopterus,setiger,,Mormopterus setiger,-999,-999,,-999,,,,,NA,NA,Mormopterus setiger,ainsect,t1,
669,Unchanged taxonomy.,AF_extant_Mungos gambianus,AF,Gambia_ Ghana_ Ivory Coast_ Niger_ Nigeria_ Senegal_ Sierra Leone_ Togo,extant,,NA,NA,Carnivora,Herpestidae,Mungos,gambianus,,Mungos gambianus,3.176,1500,unknown,-999,DD,,,,NA,NA,Mungos gambianus,ginsect/carn,t1,terr
670,Unchanged taxonomy.,AF_extant_Mungos mungo,AF,,extant,,NA,NA,Carnivora,Herpestidae,Mungos,mungo,,Mungos mungo,3.284,1924.997,,63_ 70,,,,,NA,NA,Mungos mungo,ginsect/carn,t1,terr
671,Unchanged taxonomy.,AF_extant_Muriculus imberbis,AF,Ethiopia,extant,,NA,NA,Rodentia,Muridae,Muriculus,imberbis,,Muriculus imberbis,1.267,18.5,,70,VU,,,,NA,NA,Muriculus imberbis,ginsect,t1,terr
672,Unchanged taxonomy.,AF_extant_Mus baoulei,AF,Ivory Coast_ Equatorical Guinea,extant,,NA,NA,Rodentia,Muridae,Mus,baoulei,,Mus baoulei,-999,-999,,-999,,,,,NA,NA,Mus baoulei,,,
673,Unchanged taxonomy.,AF_extant_Mus bufo,AF,,extant,,NA,NA,Rodentia,Muridae,Mus,bufo,,Mus bufo,0.964,9.2,,135,,,,,NA,NA,Mus bufo,frug/browse ,t1,terr
674,Unchanged taxonomy.,AF_extant_Mus callewaerti,AF,Angola_ Zaire,extant,,NA,NA,Rodentia,Muridae,Mus,callewaerti,,Mus callewaerti,-999,-999,,-999,,,,,NA,NA,Mus callewaerti,,,
675,Unchanged taxonomy.,AF_extant_Mus goundae,AF,Central African Republic,extant,,NA,NA,Rodentia,Muridae,Mus,goundae,,Mus goundae,-999,-999,,-999,VU,,,,NA,NA,Mus goundae,,,
676,Unchanged taxonomy.,AF_extant_Mus haussa,AF,,extant,,NA,NA,Rodentia,Muridae,Mus,haussa,,Mus haussa,-999,-999,,-999,,,,,NA,NA,Mus haussa,,,
677,Unchanged taxonomy.,AF_extant_Mus indutus,AF,,extant,,NA,NA,Rodentia,Muridae,Mus,indutus,,Mus indutus,0.789,6.15,,60,,,,,NA,NA,Mus indutus,frug/browse ,t1,terr
678,"Species name change. Listing all species in the genus: baoulei, booduga, bufo, callewaerti, caroli, cervicolor, cookii, crociduroides, famulus, fernandoni, fragilicauda, goundae, haussa, indutus, macedonicus, mahomet, mattheyi, mayori, minutoides, musculoides, musculus, neavei, orangiae, oubanguii, pahari, phillipsi, platythrix, saxicola, setulosus, setzeri, shortridgei, sorella, spicilegus, spretus, tenellus, terricolor, triton, vulcani",AF_extant_Mus kasaicus,AF,Zaire,extant,,NA,NA,Rodentia,Muridae,Mus,kasaicus,,Mus kasaicus,-999,-999,,-999,CR,,,,NA,NA,Mus kasaicus,,,
679,Unchanged taxonomy.,AF_extant_Mus mahomet,AF,,extant,,NA,NA,Rodentia,Muridae,Mus,mahomet,,Mus mahomet,1,10,,60,,,,,NA,NA,Mus mahomet,frug/browse ,t1,terr
680,Unchanged taxonomy.,AF_extant_Mus mattheyi,AF,Ghana,extant,,NA,NA,Rodentia,Muridae,Mus,mattheyi,,Mus mattheyi,-999,-999,,-999,DD,,,,NA,NA,Mus mattheyi,,,
681,Unchanged taxonomy.,AF_extant_Mus minutoides,AF,,extant,,NA,NA,Rodentia,Muridae,Mus,minutoides,,Mus minutoides,0.846,7.011,,125_ 129_ 260_ 130,,WT:8.25,,,NA,NA,Mus minutoides,frug/browse ,t1,terr
682,Unchanged taxonomy.,AF_extant_Mus musculoides,AF,,extant,,NA,NA,Rodentia,Muridae,Mus,musculoides,,Mus musculoides,0.778,6,Added in by KJ and ME,68,,,,,NA,NA,Mus musculoides,frug/browse ,t1,terr
683,Unchanged taxonomy.,AF_extant_Mus musculus,AF,,extant,,NA,NA,Rodentia,Muridae,Mus,musculus,,Mus musculus,1.237,17.25,,63_ 70_ 130,,WT:13,,,NA,NA,Mus musculus,frug/browse ,t1,terr
684,Unchanged taxonomy.,AF_extant_Mus neavei,AF,Zaire_ Zambia_ Zimbabwe_ Transvaal of South Africa_ Mozambique_ Tanzania,extant,,NA,NA,Rodentia,Muridae,Mus,neavei,,Mus neavei,-999,-999,,-999,,,,,NA,NA,Mus neavei,,,
685,Unchanged taxonomy.,AF_extant_Mus orangiae,AF,South Africa,extant,,NA,NA,Rodentia,Muridae,Mus,orangiae,,Mus orangiae,-999,-999,,-999,,,,,NA,NA,Mus orangiae,,,
686,Unchanged taxonomy.,AF_extant_Mus oubanguii,AF,Central African Republic,extant,,NA,NA,Rodentia,Muridae,Mus,oubanguii,,Mus oubanguii,-999,-999,,-999,VU,,,,NA,NA,Mus oubanguii,,,
687,Unchanged taxonomy.,AF_extant_Mus setulosus,AF,,extant,,NA,NA,Rodentia,Muridae,Mus,setulosus,,Mus setulosus,0.973,9.4,,60,,,,,NA,NA,Mus setulosus,frug/browse ,t1,terr
688,Unchanged taxonomy.,AF_extant_Mus setzeri,AF,,extant,,NA,NA,Rodentia,Muridae,Mus,setzeri,,Mus setzeri,0.823,6.65,,60,,,,,NA,NA,Mus setzeri,frug/browse ,t1,terr
689,Unchanged taxonomy.,AF_extant_Mus sorella,AF,Cameroon_ Angola_ Zaire_ Uganda_ Kenya_ Tanzania,extant,,NA,NA,Rodentia,Muridae,Mus,sorella,,Mus sorella,-999,-999,,-999,,,,,NA,NA,Mus sorella,,,
690,Unchanged taxonomy.,AF_extant_Mus spretus,AF,,extant,,NA,NA,Rodentia,Muridae,Mus,spretus,,Mus spretus,1.107,12.8,Added in by KJ and ME,68,,,,,NA,NA,Mus spretus,frug/browse ,t1,terr
691,Unchanged taxonomy.,AF_extant_Mus tenellus,AF,Sudan_ Ethiopia_ Somalia_ Kenya_ Tanzania,extant,,NA,NA,Rodentia,Muridae,Mus,tenellus,,Mus tenellus,-999,-999,,-999,,,,,NA,NA,Mus tenellus,,,
692,Unchanged taxonomy.,AF_extant_Mus triton,AF,,extant,,NA,NA,Rodentia,Muridae,Mus,triton,,Mus triton,1.132,13.55,n=97,135,,,,,NA,NA,Mus triton,ginsect,t1,terr
693,Unchanged taxonomy.,AF_extant_Mustela nivalis,AF,,extant,,NA,NA,Carnivora,Mustelidae,Mustela,nivalis,,Mustela nivalis,2.273,187.499,,65,,,,,NA,NA,Mustela nivalis,carn/ginsect,t1,terr
694,Unchanged taxonomy.,AF_extant_Mustela putorius,AF,,extant,,NA,NA,Carnivora,Mustelidae,Mustela,putorius,,Mustela putorius,3.041,1099.993,,65,,,,,NA,NA,Mustela putorius,carn/ginsect,t1,terr
695,Unchanged taxonomy.,AF_extant_Mylomys dybowskii,AF,,extant,,NA,NA,Rodentia,Muridae,Mylomys,dybowskii,,Mylomys dybowskii,2.058,114.4,n=84,135,,,,,NA,NA,Mylomys dybowskii,graze,t1,terr
696,"Genus level change. Taxonomy possibilities are: RODENTIA Cricetidae Arborimus albipes, RODENTIA Muridae Conilurus albipes, RODENTIA Muridae Stenocephalemys albipes",AF_extant_Myomys albipes,AF,Ethiopia,extant,,NA,NA,Rodentia,Muridae,Myomys,albipes,,Myomys albipes,-999,-999,,-999,LR,,,,NA,NA,Myomys albipes,frug/ginsect,t1,
697,Genus level change. Taxonomy possibilities are: RODENTIA Muridae Praomys daltoni,AF_extant_Myomys daltoni,AF,,extant,,NA,NA,Rodentia,Muridae,Myomys,daltoni,,Myomys daltoni,1.585,38.5,,75_ 130,,WT:37,,,NA,NA,Myomys daltoni,frug/ginsect,t1,terr
698,Genus level change. Taxonomy possibilities are: RODENTIA Muridae Praomys derooi,AF_extant_Myomys derooi,AF,,extant,,NA,NA,Rodentia,Muridae,Myomys,derooi,,Myomys derooi,1.505,32,,130,,WT:32,,,NA,NA,Myomys derooi,frug/ginsect,t1,terr
699,"Neither the genus nor the species exist- family or above change, no more info available.",AF_extant_Myomys fumatus,AF,,extant,,NA,NA,Rodentia,Muridae,Myomys,fumatus,,Myomys fumatus,1.477,30,n=9,135,,,,,NA,NA,Myomys fumatus,frug/ginsect,t1,terr
700,Genus level change. Taxonomy possibilities are: RODENTIA Muridae Stenocephalemys ruppi,AF_extant_Myomys ruppi,AF,,extant,,NA,NA,Rodentia,Muridae,Myomys,ruppi,,Myomys ruppi,1.69,49,,-999,VU,,,,NA,NA,Myomys ruppi,frug/ginsect,t1,terr
701,Genus level change. Taxonomy possibilities are: RODENTIA Muridae Myomyscus verreauxii,AF_extant_Myomys verreauxii,AF,,extant,,NA,NA,Rodentia,Muridae,Myomys,verreauxii,,Myomys verreauxii,1.613,41,,129,,,,,NA,NA,Myomys verreauxii,frug/ginsect,t1,terr
702,Unchanged taxonomy.,AF_extant_Myonycteris relicta,AF,Shimba Hills_ Kenya_ Niguru and Usambara Mtns_ Tanzania,extant,,NA,NA,Chiroptera,Pteropodidae,Myonycteris,relicta,,Myonycteris relicta,1.716,52,,153,,,,,NA,NA,Myonycteris relicta,frug ,t1,volant
703,Unchanged taxonomy.,AF_extant_Myonycteris torquata,AF,Sierra Leone to Uganada_ south to nagola and Zambia_ Bioko,extant,,NA,NA,Chiroptera,Pteropodidae,Myonycteris,torquata,,Myonycteris torquata,1.626,42.225,,153,,WT:38,FA:62,,NA,NA,Myonycteris torquata,frug ,t1,volant
704,Unchanged taxonomy.,AF_extant_Myopterus daubentonii,AF,Senegal_ Ivory Coast_ NE Zaire,extant,,NA,NA,Chiroptera,Molossidae,Myopterus,daubentonii,,Myopterus daubentonii,-999,-999,,-999,,,,,NA,NA,Myopterus daubentonii,ainsect,t1,
705,Unchanged taxonomy.,AF_extant_Myopterus whitleyi,AF,Ghana_ Nigeria_ Cameroon_ zaire_ Uganda,extant,,NA,NA,Chiroptera,Molossidae,Myopterus,whitleyi,,Myopterus whitleyi,1.061,11.5,,153,,WT:11,FA:34.5,,NA,NA,Myopterus whitleyi,ainsect,t1,volant
706,Unchanged taxonomy.,AF_extant_Myosciurus pumilio,AF,,extant,,NA,NA,Rodentia,Sciuridae,Myosciurus,pumilio,,Myosciurus pumilio,2.217,164.999,habitat loss,60,VU,,,,NA,NA,Myosciurus pumilio,ginsect,t1,arboreal
707,Genus and species name match. Likely taxonomy is SORICOMORPHA Soricidae Myosorex babaulti,AF_extant_Myosorex babaulti,AF,Zaire_ Rwanda_ Burundi,extant,,NA,NA,Insectivora,Soricidae,Myosorex,babaulti,,Myosorex babaulti,-999,-999,,-999,,,,,NA,NA,Myosorex babaulti,ginsect,t1,
708,Genus and species name match. Likely taxonomy is SORICOMORPHA Soricidae Myosorex blarina,AF_extant_Myosorex blarina,AF,Uganda_ Zaire,extant,,NA,NA,Insectivora,Soricidae,Myosorex,blarina,,Myosorex blarina,-999,-999,habitat loss_ restricted range,-999,VU,,,,NA,NA,Myosorex blarina,ginsect,t1,
709,Genus and species name match. Likely taxonomy is SORICOMORPHA Soricidae Myosorex cafer,AF_extant_Myosorex cafer,AF,,extant,,NA,NA,Insectivora,Soricidae,Myosorex,cafer,,Myosorex cafer,1.127,13.4,,260,,,,,NA,NA,Myosorex cafer,ginsect,t1,terr
710,Genus and species name match. Likely taxonomy is SORICOMORPHA Soricidae Myosorex eisentrauti,AF_extant_Myosorex eisentrauti,AF,Equatorial Guinea,extant,,NA,NA,Insectivora,Soricidae,Myosorex,eisentrauti,,Myosorex eisentrauti,-999,-999,habitat loss_ restricted range,-999,EN,,,,NA,NA,Myosorex eisentrauti,ginsect,t1,
711,Genus and species name match. Likely taxonomy is SORICOMORPHA Soricidae Myosorex geata,AF_extant_Myosorex geata,AF,Tanzania,extant,,NA,NA,Insectivora,Soricidae,Myosorex,geata,,Myosorex geata,0.971,9.35,habitat loss_ restricted range,126,EN,,,,NA,NA,Myosorex geata,ginsect,t1,terr
712,Genus and species name match. Likely taxonomy is SORICOMORPHA Soricidae Myosorex longicaudatus,AF_extant_Myosorex longicaudatus,AF,South Africa,extant,,NA,NA,Insectivora,Soricidae,Myosorex,longicaudatus,,Myosorex longicaudatus,1.113,12.98,habitat loss_ restricted range,198,VU,,,,NA,NA,Myosorex longicaudatus,ginsect,t1,terr
713,Genus and species name match. Likely taxonomy is SORICOMORPHA Soricidae Myosorex okuensis,AF_extant_Myosorex okuensis,AF,Cameroon,extant,,NA,NA,Insectivora,Soricidae,Myosorex,okuensis,,Myosorex okuensis,-999,-999,habitat loss_ restricted range,-999,VU,,,,NA,NA,Myosorex okuensis,ginsect,t1,
714,Genus and species name match. Likely taxonomy is SORICOMORPHA Soricidae Myosorex rumpii,AF_extant_Myosorex rumpii,AF,Cameroon,extant,,NA,NA,Insectivora,Soricidae,Myosorex,rumpii,,Myosorex rumpii,-999,-999,habitat loss_ restricted range,-999,CR,,,,NA,NA,Myosorex rumpii,ginsect,t1,
715,Genus and species name match. Likely taxonomy is SORICOMORPHA Soricidae Myosorex schalleri,AF_extant_Myosorex schalleri,AF,Zaire,extant,,NA,NA,Insectivora,Soricidae,Myosorex,schalleri,,Myosorex schalleri,-999,-999,habitat loss_ restricted range,-999,CR,,,,NA,NA,Myosorex schalleri,ginsect,t1,
716,Genus and species name match. Likely taxonomy is SORICOMORPHA Soricidae Myosorex sclateri,AF_extant_Myosorex sclateri,AF,South Africa,extant,,NA,NA,Insectivora,Soricidae,Myosorex,sclateri,,Myosorex sclateri,-999,-999,habitat loss_ restricted range,-999,VU,,,,NA,NA,Myosorex sclateri,ginsect,t1,
717,Genus and species name match. Likely taxonomy is SORICOMORPHA Soricidae Myosorex tenuis,AF_extant_Myosorex tenuis,AF,South Africa (Transvaal)_ possibly Mozambique,extant,,NA,NA,Insectivora,Soricidae,Myosorex,tenuis,,Myosorex tenuis,-999,-999,habitat loss_ restricted range,-999,VU,,,,NA,NA,Myosorex tenuis,ginsect,t1,
718,Genus and species name match. Likely taxonomy is SORICOMORPHA Soricidae Myosorex varius,AF_extant_Myosorex varius,AF,,extant,,NA,NA,Insectivora,Soricidae,Myosorex,varius,,Myosorex varius,1.121,13.2,,260,,,,,NA,NA,Myosorex varius,ginsect,t1,terr
719,"Genus level change. Taxonomy possibilities are: RODENTIA Nesomyidae Steatomys bocagei, RODENTIA Muridae Aethomys bocagei, RODENTIA Bathyergidae Cryptomys bocagei",AF_extant_Myotis bocagei,AF,Senegal to S Yemen_ south to Angola_ Zambia and Transvaal (South Africa),extant,,NA,NA,Chiroptera,Vespertilionidae,Myotis,bocagei,,Myotis bocagei,0.891,7.786,,153,,WT:7.5,FA:37,,NA,NA,Myotis bocagei,ainsect,t1,volant
720,Unchanged taxonomy.,AF_extant_Myotis emarginatus,AF,S Europe_ north to Netherlands and S Poland_ Crimea_ Caucasus and Kopet Dag Mtns_ east to Uzbekistan and E Iran_ Israel_ Morocco_ Algeria_ Tunisia_ Lebanon_ Afghanistan,extant,,NA,NA,Chiroptera,Vespertilionidae,Myotis,emarginatus,,Myotis emarginatus,0.884,7.655,,153,,,,,NA,NA,Myotis emarginatus,ainsect,t1,volant
721,Genus level change. Taxonomy possibilities are: CHIROPTERA Vespertilionidae Cistugo lesueuri,AF_extant_Myotis lesueuri,AF,SW Cape Province (South Africa),extant,,NA,NA,Chiroptera,Vespertilionidae,Myotis,lesueuri,,Myotis lesueuri,-999,-999,,-999,,,,,NA,NA,Myotis lesueuri,ainsect,t1,
722,Unchanged taxonomy.,AF_extant_Myotis morrisi,AF,Ethiopia_ Nigeria,extant,,NA,NA,Chiroptera,Vespertilionidae,Myotis,morrisi,,Myotis morrisi,-999,-999,,-999,,,,,NA,NA,Myotis morrisi,ainsect,t1,
723,Unchanged taxonomy.,AF_extant_Myotis nattereri,AF,Europe (except Scandinavia)_ NW Africa_ Turkey_ Israel_ Iraq_ Crimea and Caucasus to Turkmenistan,extant,,NA,NA,Chiroptera,Vespertilionidae,Myotis,nattereri,,Myotis nattereri,0.854,7.138,,153,,,,,NA,NA,Myotis nattereri,ainsect,t1,volant
724,Unchanged taxonomy.,AF_extant_Myotis scotti,AF,Ethiopia,extant,,NA,NA,Chiroptera,Vespertilionidae,Myotis,scotti,,Myotis scotti,-999,-999,,-999,,,,,NA,NA,Myotis scotti,ainsect,t1,
725,"Species name change. Listing all species in the genus: abei, adversus, aelleni, albescens, alcathoe, altarium, anjouanensis, annamiticus, annectans, atacamensis, ater, auriculus, australis, austroriparius, bechsteinii, blythii, bocagii, bombinus, brandtii, bucharensis, californicus, capaccinii, chiloensis, chinensis, ciliolabrum, cobanensis, csorbai, dasycneme, daubentonii, davidii, dominicensis, elegans, emarginatus, evotis, fimbriatus, findleyi, formosus, fortidens, frater, gomantongensis, goudoti, grisescens, hajastanicus, hasseltii, hermani, horsfieldii, hosonoi, ikonnikovi, insularum, keaysi, keenii, laniger, leibii, levis, longipes, lucifugus, macrodactylus, macropus, macrotarsus, martiniquensis, melanorhinus, moluccarum, montivagus, morrisi, muricola, myotis, mystacinus, nattereri, nesopolus, nigricans, nipalensis, occultus, oreias, oxygnathus, oxyotus, ozensis, peninsularis, pequinius, planiceps, pruinosus, punicus, ricketti, ridleyi, riparius, rosseti, ruber, schaubi, scotti, septentrionalis, sicarius, siligorensis, simus, sodalis, stalkeri, thysanodes, tricolor, velifer, vivesi, volans, welwitschii, yanbarensis, yesoensis, yumanensis",AF_extant_Myotis seabrai,AF,NW Cape Province (South Africa)_ Naminia_ SW Angola,extant,,NA,NA,Chiroptera,Vespertilionidae,Myotis,seabrai,,Myotis seabrai,-999,-999,,-999,,,,,NA,NA,Myotis seabrai,ainsect,t1,
726,Unchanged taxonomy.,AF_extant_Myotis tricolor,AF,Ethiopia and Zaire_ south to South Africa,extant,,NA,NA,Chiroptera,Vespertilionidae,Myotis,tricolor,,Myotis tricolor,1.144,13.943,,153,,,,,NA,NA,Myotis tricolor,ainsect,t1,volant
727,Unchanged taxonomy.,AF_extant_Myotis welwitschii,AF,South Africa to Ethiopia,extant,,NA,NA,Chiroptera,Vespertilionidae,Myotis,welwitschii,,Myotis welwitschii,1.19,15.5,,153,,,,,NA,NA,Myotis welwitschii,ainsect,t1,volant
728,Genus and species name match. Likely taxonomy is RODENTIA Nesomyidae Mystromys albicaudatus,AF_extant_Mystromys albicaudatus,AF,,extant,,NA,NA,Rodentia,Muridae,Mystromys,albicaudatus,,Mystromys albicaudatus,1.939,86.85,,129,VU,,,,NA,NA,Mystromys albicaudatus,frug/browse ,t1,terr
729,Genus and species name match. Likely taxonomy is CARNIVORA Nandiniidae Nandinia binotata,AF_extant_Nandinia binotata,AF,,extant,,NA,NA,Carnivora,Viverridae,Nandinia,binotata,,Nandinia binotata,3.301,2000,,63_ 70,,,,,NA,NA,Nandinia binotata,frug/carn,t1,arboreal
730,Genus level change. Taxonomy possibilities are: RODENTIA Spalacidae Spalax ehrenbergi,AF_extant_Nannospalax ehrenbergi,AF,,extant,,NA,NA,Rodentia,Muridae,Nannospalax,ehrenbergi,,Nannospalax ehrenbergi,2.246,175.999,,60,,,,,NA,NA,Nannospalax ehrenbergi,Browse,t1,terr
731,Species name change. Listing all species in the genus: veldkampii,AF_extant_Nanonycteris veldkampi,AF,Guinea to central african ruplic,extant,,NA,NA,Chiroptera,Pteropodidae,Nanonycteris,veldkampi,,Nanonycteris veldkampi,1.329,21.35,,153,,WT:24,FA:48,,NA,NA,Nanonycteris veldkampi,frug ,t1,volant
732,Unchanged taxonomy.,AF_extant_Neotragus batesi,AF,,extant,,NA,NA,Artiodactyla,Bovidae,Neotragus,batesi,,Neotragus batesi,3.477,2999.991,hunting_ habitat loss,60,LR,,,,NA,NA,Neotragus batesi,Browse,t1,terr
733,Unchanged taxonomy.,AF_extant_Neotragus moschatus,AF,,extant,,NA,NA,Artiodactyla,Bovidae,Neotragus,moschatus,,Neotragus moschatus,3.813,6499.95,habitat loss,63_ 70,LR,,,,NA,NA,Neotragus moschatus,Browse,t1,terr
734,Unchanged taxonomy.,AF_extant_Neotragus pygmaeus,AF,,extant,,NA,NA,Artiodactyla,Bovidae,Neotragus,pygmaeus,,Neotragus pygmaeus,3.602,4000,hunting_ habitat loss,60,LR,,,,NA,NA,Neotragus pygmaeus,browse/frug,t1,terr
735,Unchanged taxonomy.,AF_extant_Nesokia indica,AF,,extant,,NA,NA,Rodentia,Muridae,Nesokia,indica,,Nesokia indica,2.252,178.501,,64,,,,,NA,NA,Nesokia indica,graze/frug,t1,terr
736,Unchanged taxonomy.,AF_extant_Nyctalus lasiopterus,AF,W europe to urals and caucasus_ Asia minor_ iran and Ust-Urt Plateau (Kazakhstan)_ Morocco_ Libya,extant,,NA,NA,Chiroptera,Vespertilionidae,Nyctalus,lasiopterus,,Nyctalus lasiopterus,1.697,49.733,,153,,,,,NA,NA,Nyctalus lasiopterus,ainsect,t1,volant
737,Unchanged taxonomy.,AF_extant_Nyctalus noctula,AF,Europe to Urals and Caucasus_ Morocco_ algeria_ SE Asia Minor to Israel_ Western Turkmenistan to SW Siberia_ Himalayas and China_ south to W Malaysia_ Taiwan_ Honshu (japan),extant,,NA,NA,Chiroptera,Vespertilionidae,Nyctalus,noctula,,Nyctalus noctula,1.447,28,,153,,,,,NA,NA,Nyctalus noctula,ainsect,t1,volant
738,Unchanged taxonomy.,AF_extant_Nycteris arge,AF,Sierra leone to s and E Zaire_ W Kenya_ SW Sudan_ NE Angola_ Bioko,extant,,NA,NA,Chiroptera,Nycteridae,Nycteris,arge,,Nycteris arge,1.077,11.95,,153,,,FA:41,,NA,NA,Nycteris arge,ainsect,t1,volant
739,Unchanged taxonomy.,AF_extant_Nycteris gambiensis,AF,Senegal_ Dialakoto,extant,,NA,NA,Chiroptera,Nycteridae,Nycteris,gambiensis,,Nycteris gambiensis,0.842,6.95,,153,,,,,NA,NA,Nycteris gambiensis,ainsect,t1,volant
740,Unchanged taxonomy.,AF_extant_Nycteris grandis,AF,Senegal to Kenya_ Zimbabwe and Mozambique_ Zanzibar and Pemba,extant,,NA,NA,Chiroptera,Nycteridae,Nycteris,grandis,,Nycteris grandis,1.479,30.157,,153,,,FA:60.5,,NA,NA,Nycteris grandis,ainsect,t1,volant
741,Unchanged taxonomy.,AF_extant_Nycteris hispida,AF,Senegal to Somalia and south to Angola and South Africa_ Zanzibar_ Bioko,extant,,NA,NA,Chiroptera,Nycteridae,Nycteris,hispida,,Nycteris hispida,0.936,8.633,,153,,WT:6,FA:40.5,,NA,NA,Nycteris hispida,ainsect,t1,volant
742,Unchanged taxonomy.,AF_extant_Nycteris intermedia,AF,Liberia to W Tanzania and south to Angola,extant,,NA,NA,Chiroptera,Nycteridae,Nycteris,intermedia,,Nycteris intermedia,1.027,10.65,,231,,,,,NA,NA,Nycteris intermedia,ainsect,t1,volant
743,Unchanged taxonomy.,AF_extant_Nycteris macrotis,AF,Senegal to Ethiopia_ south to Zimbabwe_ malawi and Mozambique_ Zanzibar_ Madagascar,extant,,NA,NA,Chiroptera,Nycteridae,Nycteris,macrotis,,Nycteris macrotis,1.16,14.459,,153,,,,,NA,NA,Nycteris macrotis,ainsect,t1,volant
744,Unchanged taxonomy.,AF_extant_Nycteris major,AF,Liberia to Zambia,extant,,NA,NA,Chiroptera,Nycteridae,Nycteris,major,,Nycteris major,-999,-999,,-999,,,,,NA,NA,Nycteris major,ainsect,t1,
